sku,name ,crosssell_skus,crosssell_position
21-0057-0-19,【北歐現代】Antony 捲簾化妝桌 原木色,"1017957,22-0140-0-19,22-0141-0-19,23-0103-1-19,23-0071-1-25,23-0075-1-25,22-0074-0-06,22-0078-0-02,1018305,20-0089-0-24,30-0049-0-08-v2,30-0001-0-08-v2,30-0039-0-08,Addon-CS-30-0003-0-08-v2,Addon-CS-30-0042-0-08-v2,Addon-CS-23-00108","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"
1018007,超級收納化妝台/化妝桌 100cm 胡桃木,"1017957,13-0017-0-19,21-0052-0-19,22-0055-0-19,22-0048-0-19,22-0086-0-19,1017967,23-0059-1-19,23-0079-1-19,1018402,30-0049-0-08-v2,30-0001-0-08-v2,30-0039-0-08,Addon-CS-30-0003-0-08-v2,Addon-CS-30-0042-0-08-v2,Addon-CS-23-00108","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"
21-0021-0-19,【北歐復古】Antony 實木翻轉化妝桌 赤栗棕,"1017957,13-0017-0-19,21-0052-0-19,22-0055-0-19,22-0048-0-19,22-0086-0-19,1017967,23-0059-1-19,23-0079-1-19,1018402,30-0049-0-08-v2,30-0001-0-08-v2,30-0039-0-08,Addon-CS-30-0003-0-08-v2,Addon-CS-30-0042-0-08-v2,Addon-CS-23-00108","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"
23-0079-1-19,【北歐復古】Antony 實木雙人床架/雙人標準 (5x6.2) 赤栗棕,"30-0049-0-08-v2,30-0001-0-08-v2,22-0047-0-19,22-0086-0-19,1017967,20-0106-0-24,1018007,21-0021-0-19,1017957,13-0017-0-19,30-0039-0-08,22-0055-0-19,22-0048-0-19,Addon-CS-30-0003-0-08-v2,Addon-CS-30-0042-0-08-v2,Addon-CS-23-00108","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"
23-0071-1-25,Luna 雙人床架/雙人標準 (5x6.2) 灰色,"30-0049-0-08-v2,30-0001-0-08-v2,22-0074-0-06,22-0078-0-02,20-0035-0-06-v2,22-0075-0-06,1017956,21-0057-0-19,1017957,13-0016-0-19,30-0039-0-08,22-0140-0-19,22-0141-0-19,Addon-CS-30-0003-0-08-v2,Addon-CS-30-0042-0-08-v2,Addon-CS-23-00108","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"
23-0075-1-25,Alex 白橡木雙人床框/雙人標準 (5x6.2),"30-0049-0-08-v2,30-0001-0-08-v2,22-0074-0-06,22-0078-0-02,20-0035-0-06-v2,22-0075-0-06,1017956,21-0057-0-19,1017957,13-0016-0-19,30-0039-0-08,22-0140-0-19,22-0141-0-19,Addon-CS-30-0003-0-08-v2,Addon-CS-30-0042-0-08-v2,Addon-CS-23-00108","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"
22-0074-0-06,Cane 收納邊几/床頭櫃,"20-0101-0-19-v2,1018324,1018310,1017956,21-0057-0-19,1017957,13-0016-0-19,23-0103-1-19,23-0075-1-25,22-0140-0-19,22-0141-0-19,30-0001-0-08-v2,30-0039-0-08,Addon-CS-30-0003-0-08-v2,Addon-CS-30-0042-0-08-v2,Addon-CS-23-00108","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"
22-0047-0-19,【北歐復古】Antony 實木抽屜床頭櫃 赤栗棕,"20-0101-0-19-v2,1018324,1017967,1018007,21-0021-0-19,21-0022-0-19,1017957,23-0059-1-19,23-0079-1-19,22-0055-0-19,22-0048-0-19,30-0001-0-08-v2,30-0039-0-08,Addon-CS-30-0003-0-08-v2,Addon-CS-30-0042-0-08-v2,Addon-CS-23-00108","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"
22-0055-0-19,【北歐復古】Antony 實木六斗櫃 (矮櫃) 赤栗棕,"22-0048-0-19,1018007,21-0021-0-19,22-0047-0-19,22-0086-0-19,1017957,13-0017-0-19,23-0059-1-19,23-0079-1-19,13-0028-0-19,1017967,20-0070-0-19,20-0134-0-19,Addon-CS-30-0003-0-08-v2,Addon-CS-30-0042-0-08-v2,Addon-CS-23-00108","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"
30-0002-0-08-v2,雙人加大(6X6.2)｜涼感減壓記憶床墊｜零干擾 獨立筒,"Addon-CS-23-00109,Addon-CS-30-0003-0-08-v2,Addon-CS-30-0042-0-08-v2,Addon-CS-30-0033-0-08-v2,Addon-CS-1018407,30-0039-0-08,Addon-CS-23-00115,Addon-CS-23-00116,Addon-CS-23-00117,Addon-CS-23-00108,Addon-CS-23-00110,Addon-CS-23-00107,Addon-CS-30-0009-0-08-v2,23-0071-1-25,23-0075-1-25,22-0074-0-06,22-0078-0-02,1017956,21-0057-0-19,1017957","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"
